date,Pantene,Head & Shoulder,Garnier,Dove
20111001,63.4,62.7,72.2,66.4
20111002,58,59.9,67.7,61
20111003,53.3,59.1,69.4,56.3
20111004,55.7,58.8,68,58.7
20111005,64.2,58.7,72.4,67.2
20111006,58.8,57,77,61.8
20111007,57.9,56.7,82.3,60.9
20111008,61.8,56.8,78.9,64.8
20111009,69.3,56.7,68.8,72.3
20111010,71.2,60.1,68.7,74.2
20111011,68.7,61.1,70.3,71.7
20111012,61.8,61.5,75.3,64.8
20111013,63,64.3,76.6,66
20111014,66.9,67.1,66.6,69.9
20111015,61.7,64.6,68,64.7
20111016,61.8,61.6,70.6,64.8
20111017,62.8,61.1,71.1,65.8
20111018,60.8,59.2,70,63.8
20111019,62.1,58.9,61.6,65.1
20111020,65.1,57.2,57.4,68.1
20111021,55.6,56.4,64.3,58.6
20111022,54.4,60.7,72.4,57.4
20111023,54.4,65.1,72.4,66.1
20111024,54.8,60.9,72.5,61.9
20111025,57.9,56.1,72.7,57.1
20111026,54.6,54.6,73.4,55.6
20111027,54.4,56.1,70.7,57.1
20111028,42.5,58.1,56.8,59.1
20111029,40.9,57.5,51,58.5
20111030,38.6,57.7,54.9,58.7
20111031,44.2,55.1,58.8,56.1
20111101,49.6,57.9,62.6,58.9
20111102,47.2,64.6,71,65.6
20111103,50.1,56.2,58.4,57.2
20111104,50.1,50.5,45.1,51.5
20111105,43.5,51.3,52.2,52.3
20111106,43.8,52.6,73,53.6
20111107,48.9,51.4,75.4,52.4
20111108,55.5,50.6,72.1,51.6
20111109,53.7,54.6,56.6,55.6
20111110,57.7,55.6,55.4,56.6
20111111,48.5,53.9,46.7,49.9
20111112,46.8,54,62,50
20111113,51.1,53.8,71.6,49.8
20111114,56.8,53.5,75.5,49.5
20111115,59.7,53.4,72.1,49.4
20111116,56.5,52.2,65.7,48.2
20111117,49.6,52.7,56.8,48.7
20111118,41.5,53.1,49.9,49.1
20111119,44.3,49,71.7,45
20111120,54,50.4,77.7,46.4
20111121,54.1,51.1,76.4,47.1
20111122,49.4,52.3,68.8,48.3
20111123,50,54.6,57,50.6
20111124,44,55.1,55.5,51.1
20111125,50.3,51.5,61.6,47.5
20111126,52.1,53.6,64.1,49.6
20111127,49.6,52.3,51.1,48.3
20111128,57.2,51,43,47
20111129,59.1,49.5,46.4,45.5
20111130,50.6,49.8,48,45.8
20111201,44.3,60.4,48.1,56.4
20111202,43.9,62.2,60.6,58.2
20111203,42.1,58.3,62.6,54.3
